ST_CASE,VEH_NO,PER_NO,AGE,SEX,PER_TYP,INJ_SEV,SEAT_POS,REST_USE,AIR_BAG,DRUGS,LOCATION,NUMOCCS,HIT_RUN,OWNER,V_CONFIG,HAZ_INV,TRAV_SP,DR_HGT,DR_WGT,PREV_SPD,SPEEDREL,VTRAFWAY,VNUM_LAN,VPROFILE,VPAVETYP,VSURCOND,P_CRASH1,P_CRASH2,DR_DRINK,VPICBODYCLASS,DRDISTRACT,DRIVERRF,DAY,MONTH,YEAR,DAY_WEEK,HOUR,RUR_URB,HARM_EV,RELJCT2,TYP_INT,REL_ROAD,LGT_COND,WEATHER,Fatality Rate (%)
290312,1,1,32,1,1,1,11,3,8,8,0,2,0,4,0,1,998,78,285,0,9,5,5,6,2,1,1,10,0,7,96,28,20,3,2020,6,1,2,12,1,1,1,3,10,25.0
290313,1,1,18,2,1,0,11,3,1,0,0,2,0,2,0,1,998,66,140,0,0,1,3,8,8,2,11,15,0,13,96,38,11,5,2020,2,17,2,12,2,2,1,1,2,33.33333333
290315,1,1,29,2,1,0,11,20,20,8,0,3,0,0,0,1,999,67,133,0,4,1,2,6,2,2,14,6,1,105,96,36,22,5,2020,6,20,2,1,1,1,4,2,10,33.33333333
290318,1,1,44,1,1,0,11,3,20,8,0,2,0,3,7,1,998,71,275,0,0,1,8,1,2,1,3,80,0,66,96,0,30,5,2020,7,2,2,8,1,1,1,3,1,33.33333333
290320,1,1,38,1,1,4,11,20,20,8,0,1,0,1,0,1,62,71,180,0,0,3,4,5,8,1,16,10,0,94,96,35,30,5,2020,7,11,2,12,17,1,1,1,1,50.0
290322,1,1,71,1,1,3,11,20,20,8,0,2,0,1,0,1,15,70,220,0,0,2,2,5,2,1,2,53,0,1,96,0,3,6,2020,4,12,2,12,7,1,1,1,1,16.66666667
290327,1,1,27,1,1,4,11,20,20,1,0,1,0,2,0,1,998,69,150,1,4,1,2,6,2,1,14,13,0,94,96,0,31,5,2020,1,21,2,24,1,1,4,2,1,100.0
290328,1,1,33,1,1,0,11,3,8,8,0,3,0,2,0,1,999,71,218,0,0,2,3,1,2,1,1,50,0,60,17,39,1,6,2020,2,19,2,12,2,2,1,1,1,16.66666667
290329,1,1,59,1,1,0,11,3,20,8,0,1,0,1,0,1,998,67,205,0,0,2,3,1,2,1,1,83,0,7,96,0,5,6,2020,6,12,2,9,3,7,1,1,1,50.0
290330,1,1,17,2,1,4,11,20,1,8,0,1,0,2,0,1,62,65,145,0,0,1,2,1,2,1,14,10,0,13,96,28,7,6,2020,1,18,2,12,1,1,1,1,1,50.0
290331,1,1,19,1,1,4,11,20,1,8,0,2,0,1,0,1,999,69,190,3,3,1,2,6,2,1,14,50,1,1,96,85,10,6,2020,4,13,2,18,1,1,4,1,10,50.0
290332,1,1,36,1,1,0,11,3,1,8,0,1,0,1,0,1,40,71,165,0,0,1,4,5,2,1,1,66,0,13,96,0,10,6,2020,4,20,2,12,2,2,1,1,1,50.0
290334,1,1,39,2,1,2,11,3,1,8,0,1,0,0,0,1,77,66,200,0,3,3,3,6,2,1,1,51,0,7,17,6,13,6,2020,7,16,2,12,1,1,1,1,1,12.5
290335,1,1,39,1,1,4,11,20,1,1,0,1,0,0,0,1,80,69,212,0,3,3,3,1,2,1,15,50,0,13,17,28,13,6,2020,7,6,2,12,1,1,1,1,1,50.0
290337,1,1,59,1,1,4,11,20,20,8,0,1,0,1,0,1,998,72,205,0,0,1,2,6,2,1,14,60,0,81,96,0,14,6,2020,1,13,2,12,1,1,1,1,1,50.0
290338,1,1,62,1,1,4,11,20,20,1,0,1,0,1,0,1,998,72,155,0,0,2,3,6,1,1,1,12,0,94,96,0,15,6,2020,2,5,2,33,1,1,4,2,1,100.0
290342,1,1,27,1,1,4,11,20,8,8,0,1,0,0,0,1,998,71,170,1,3,6,1,6,1,1,1,12,1,13,96,0,10,6,2020,4,22,2,33,3,2,4,3,1,100.0
290343,1,1,67,2,1,2,11,99,8,8,0,1,0,1,0,1,30,999,999,0,0,1,8,1,2,1,1,17,1,13,96,39,17,6,2020,4,13,2,12,2,2,1,1,1,33.33333333
290344,1,1,50,1,1,4,11,20,3,8,0,1,0,1,0,1,72,72,200,0,4,3,3,6,1,1,14,6,1,13,96,58,16,6,2020,3,3,2,33,19,1,8,3,1,100.0
290345,1,1,35,2,1,9,11,99,20,8,0,1,1,9,0,1,998,66,220,1,3,4,1,1,2,1,1,80,0,7,96,0,15,6,2020,2,19,2,8,1,1,1,1,1,50.0
290347,1,1,63,1,1,4,11,20,20,8,0,1,0,1,0,1,998,71,213,0,0,1,5,6,2,1,11,9,0,125,96,0,17,6,2020,4,15,2,43,3,2,4,1,1,100.0
290348,1,1,55,2,1,4,11,20,20,8,0,1,0,1,0,1,998,64,110,0,0,3,3,1,2,1,14,12,0,7,96,0,17,6,2020,4,17,2,57,1,1,3,1,1,100.0
290352,1,1,59,1,1,4,11,3,20,1,0,1,0,1,0,1,71,72,170,0,3,2,2,1,2,1,3,12,1,13,96,0,19,6,2020,6,19,2,33,1,1,3,1,1,100.0
290357,1,1,22,2,1,9,11,20,8,8,0,99,1,3,0,1,96,64,149,0,2,1,6,6,2,1,1,80,1,13,96,0,21,6,2020,1,2,2,8,3,2,1,3,1,33.33333333
290358,1,1,999,9,1,9,11,99,99,8,0,99,1,9,0,1,998,999,999,99,9,5,5,1,2,2,1,80,0,999,96,999,22,6,2020,2,20,2,8,1,1,1,2,10,50.0
290360,1,1,42,1,1,0,11,3,20,8,0,2,0,4,4,1,15,65,165,0,0,1,2,1,8,1,10,64,0,11,96,0,22,6,2020,2,16,2,12,8,1,2,1,10,33.33333333
290362,1,1,21,1,1,0,11,20,8,0,0,3,0,3,0,1,998,73,150,0,3,1,3,8,8,1,1,66,0,13,96,0,27,4,2020,2,21,2,12,2,2,1,3,1,25.0
290363,1,1,22,1,1,4,11,20,20,8,0,1,0,2,0,1,40,69,162,0,0,2,2,5,2,1,14,6,0,13,96,0,8,6,2020,2,16,2,21,1,1,3,1,10,100.0
290366,1,1,41,2,1,1,11,3,20,8,0,1,0,3,2,1,998,71,140,0,0,1,5,1,2,1,1,17,0,11,96,39,18,6,2020,5,9,2,12,2,2,1,1,1,33.33333333
290367,1,1,57,1,1,4,11,20,1,8,0,1,0,1,0,1,46,72,230,1,0,1,2,1,2,1,1,50,0,1,17,26,18,6,2020,5,14,2,12,8,1,1,1,10,20.0
290368,1,1,48,1,1,4,11,3,1,8,0,1,0,1,0,1,998,74,182,0,3,1,2,1,2,1,1,14,0,60,96,0,18,6,2020,5,10,2,42,3,3,4,1,1,100.0
290369,1,1,64,1,1,4,11,20,20,8,0,1,0,1,0,1,51,72,220,0,3,1,2,1,2,1,14,62,0,6,96,0,18,6,2020,5,11,2,12,2,4,1,1,1,50.0
290371,1,1,37,1,1,0,11,3,20,8,0,1,0,1,0,1,14,72,170,0,0,2,2,1,2,1,1,80,1,7,96,0,19,6,2020,6,17,2,8,1,1,1,1,10,50.0
290372,1,1,23,1,1,2,11,3,1,0,0,1,0,2,0,1,998,72,175,0,0,5,5,1,2,1,11,15,0,13,96,0,19,6,2020,6,15,2,12,2,3,1,1,10,50.0
290373,1,1,52,1,1,4,11,20,20,8,0,1,0,1,0,1,998,72,270,0,0,1,8,1,2,1,10,10,1,94,96,48,19,6,2020,6,23,2,12,3,98,1,3,1,33.33333333
290374,1,1,32,1,1,0,11,3,20,0,0,1,0,0,6,1,998,72,180,0,0,5,3,1,8,1,1,11,0,66,96,58,19,6,2020,6,12,2,12,1,1,1,1,10,50.0
290375,1,1,26,1,1,4,11,20,1,8,0,2,0,1,0,1,998,67,206,0,9,2,2,1,2,2,1,52,0,7,96,999,19,6,2020,6,18,2,12,1,1,1,1,10,33.33333333
290376,1,1,60,1,1,0,11,99,20,8,0,1,0,1,0,1,998,72,200,0,0,5,5,1,2,1,1,80,0,60,96,0,22,6,2020,2,14,2,8,3,3,1,1,1,50.0
290380,1,1,29,1,1,2,11,20,8,8,0,1,0,2,0,1,998,70,230,0,3,5,5,1,2,1,1,54,0,7,96,0,23,6,2020,3,16,2,12,1,1,1,1,1,50.0
290381,1,1,61,1,1,0,11,2,20,8,0,1,0,3,21,1,998,73,187,0,0,5,5,1,2,1,4,80,0,16,96,0,24,6,2020,4,22,2,8,1,1,1,3,1,50.0
290382,1,1,22,1,1,3,11,20,1,8,0,2,0,2,0,1,998,74,230,0,3,1,4,6,2,1,1,10,0,13,96,28,24,6,2020,4,19,2,12,1,1,1,1,1,25.0
290383,1,1,41,2,1,4,11,20,8,8,0,1,0,1,0,1,998,68,145,0,3,6,1,1,1,1,1,12,0,13,96,0,24,6,2020,4,18,2,33,5,1,4,1,1,100.0
290385,1,1,28,1,1,4,11,3,1,1,0,1,0,2,0,1,998,71,170,0,3,3,4,5,2,1,15,51,1,7,96,28,25,6,2020,5,3,2,12,18,1,1,3,1,50.0
290387,1,1,43,1,1,4,11,20,1,8,0,1,0,1,0,1,998,66,130,0,0,3,2,1,2,1,1,12,1,7,96,999,25,6,2020,5,2,2,26,1,1,3,3,1,100.0
290389,1,1,38,1,1,0,11,3,20,8,0,1,0,2,0,1,44,64,180,0,3,1,4,6,2,1,1,80,1,7,96,0,26,6,2020,6,20,2,8,1,1,1,1,1,50.0
290390,1,1,17,2,1,0,11,3,1,8,0,5,0,2,0,1,53,65,130,0,0,2,2,1,2,1,1,66,0,13,96,0,26,6,2020,6,11,2,12,2,2,1,1,10,14.28571429
290391,1,1,62,1,1,4,11,3,1,8,0,1,0,1,0,1,998,999,999,99,0,3,3,3,2,1,1,54,0,13,96,51,27,6,2020,7,4,2,12,1,1,1,3,1,25.0
290393,1,1,58,1,1,0,11,3,2,8,0,1,0,3,0,1,998,68,220,1,0,5,8,5,2,1,11,15,0,9,96,38,27,6,2020,7,0,2,12,2,3,1,2,10,50.0
290394,1,1,30,1,1,4,11,3,1,8,0,3,0,2,0,1,998,68,150,1,3,1,6,1,2,1,1,6,1,1,96,0,27,6,2020,7,2,2,19,1,1,4,3,10,66.66666667
290396,1,1,57,1,1,4,11,20,8,1,0,1,0,0,0,1,998,71,175,0,3,2,4,1,2,1,1,50,0,7,96,0,28,6,2020,1,0,2,12,3,2,1,3,10,50.0
290398,1,1,22,2,1,0,11,3,20,0,0,1,0,1,0,1,998,62,120,0,0,1,4,6,2,1,1,66,1,5,96,0,28,6,2020,1,12,2,12,2,3,1,1,1,50.0
290401,1,1,52,1,1,4,11,20,1,8,0,1,0,1,0,1,998,72,300,0,3,1,2,5,2,1,14,13,0,60,96,0,29,6,2020,2,11,2,59,1,1,4,1,1,100.0
290402,1,1,32,1,1,4,11,20,20,8,0,1,0,2,0,1,998,78,999,1,3,5,5,5,1,1,1,62,1,98,96,0,2,6,2020,3,19,2,12,8,1,1,1,1,25.0
290405,1,1,60,1,1,0,11,3,1,8,0,1,0,1,0,1,8,69,165,0,0,1,8,8,8,1,11,15,0,60,96,38,30,6,2020,3,14,2,12,2,2,1,1,10,50.0
290409,1,1,49,1,1,0,11,3,20,0,0,1,0,1,0,1,998,74,230,0,0,2,2,1,2,1,1,80,0,13,96,0,30,6,2020,3,4,2,8,1,1,1,3,10,66.66666667
290410,1,1,24,1,1,4,11,20,20,8,0,1,0,2,0,1,71,75,247,0,3,5,4,5,1,1,14,62,0,80,96,6,1,7,2020,4,17,2,12,2,2,1,1,1,50.0
290411,1,1,58,2,1,0,11,99,20,8,0,1,0,3,0,1,998,62,105,0,0,1,2,5,2,1,1,83,0,95,96,0,1,7,2020,4,10,2,9,1,1,1,1,10,50.0
290413,1,1,58,1,1,0,11,3,20,8,0,1,0,1,0,1,998,71,225,0,0,2,3,1,1,2,1,62,0,7,96,39,1,7,2020,4,12,2,12,2,2,1,1,10,33.33333333
290416,1,1,47,1,1,0,11,20,20,8,0,2,0,3,0,1,998,70,182,0,0,1,4,5,2,1,14,80,1,13,96,0,4,7,2020,7,1,2,8,1,1,1,2,1,33.33333333
290419,1,1,35,2,1,4,11,20,20,1,0,1,0,2,0,1,81,65,135,0,3,1,2,5,2,1,14,10,0,13,96,28,4,7,2020,7,19,2,12,1,1,1,1,1,20.0
290421,1,1,69,2,1,2,11,3,8,8,0,2,0,2,0,1,998,63,999,0,0,3,4,1,2,1,1,13,0,7,96,0,4,7,2020,7,8,2,52,1,1,4,1,1,50.0
290422,1,1,23,2,1,1,11,3,8,8,0,2,0,1,0,1,998,59,145,1,3,5,5,1,2,1,1,80,0,13,96,0,4,7,2020,7,22,2,8,1,1,1,3,1,33.33333333
290423,1,1,37,1,1,3,11,20,1,8,0,1,0,0,0,1,998,71,200,0,3,5,5,1,2,1,6,67,0,13,96,34,4,7,2020,7,23,2,12,2,3,1,3,1,25.0
290424,1,1,30,2,1,4,11,20,20,8,0,2,0,0,0,1,998,64,130,0,0,1,2,1,2,1,14,12,1,69,96,0,4,7,2020,7,15,2,30,1,1,4,1,1,50.0
290427,1,1,18,1,1,4,11,20,1,8,0,2,0,1,0,1,95,64,160,0,2,1,2,6,2,1,6,6,1,3,96,58,5,7,2020,1,0,2,42,1,1,4,2,1,50.0
290434,1,1,63,2,1,2,11,3,8,8,0,2,0,1,0,1,998,64,130,0,0,3,3,1,2,1,11,15,0,15,0,39,7,7,2020,3,16,2,12,2,3,1,1,1,20.0
290439,1,1,47,1,1,0,11,3,20,8,0,1,0,3,6,1,998,69,215,0,0,3,4,5,2,1,14,80,0,64,96,0,8,7,2020,4,22,2,8,1,1,1,2,1,50.0
290440,1,1,21,2,1,2,11,3,1,8,0,1,0,1,0,1,998,64,134,0,0,1,2,1,2,1,1,66,0,13,96,0,9,7,2020,5,17,2,12,2,2,1,1,1,33.33333333
290441,1,1,22,1,1,4,11,20,20,8,0,1,0,1,0,1,998,69,145,0,3,3,5,5,2,1,14,12,1,80,96,0,9,7,2020,5,23,2,42,1,1,3,6,1,100.0
