ST_CASE,VEH_NO,PER_NO,AGE,SEX,PER_TYP,SEAT_POS,REST_USE,AIR_BAG,DRUGS,LOCATION,NUMOCCS,HIT_RUN,OWNER,V_CONFIG,HAZ_INV,TRAV_SP,DR_HGT,DR_WGT,PREV_SPD,SPEEDREL,VTRAFWAY,VNUM_LAN,VPROFILE,VPAVETYP,VSURCOND,P_CRASH1,P_CRASH2,DR_DRINK,VPICBODYCLASS,DRDISTRACT,DRIVERRF,DAY,MONTH,YEAR,DAY_WEEK,HOUR,RUR_URB,HARM_EV,RELJCT2,TYP_INT,REL_ROAD,LGT_COND,WEATHER,INJ_SEV
121475,1,1,53,1,1,11,20,2,1,0,1,0,1,0,1,25,67,999,0,0,1,2,1,8,1,1,17,1,13,99,38,4,7,2020,7,21,2,12,2,3,1,3,1,4
121476,1,1,46,2,1,11,3,8,0,0,1,0,1,0,1,10,72,999,0,0,2,4,1,8,1,11,15,0,7,0,38,14,6,2020,1,21,2,12,2,2,1,2,1,1
121477,1,1,53,2,1,11,3,20,0,0,1,0,1,0,1,40,62,999,0,0,5,5,1,8,1,1,80,0,5,0,0,4,7,2020,7,23,2,8,1,1,1,3,10,0
121478,1,1,999,9,1,11,20,20,0,0,99,1,9,99,1,998,999,999,99,0,2,4,1,8,1,11,15,0,999,99,0,5,7,2020,1,20,2,12,2,2,1,3,1,9
121482,1,1,79,1,1,11,3,20,0,0,1,0,1,0,1,5,74,999,0,0,5,7,1,8,1,11,15,0,60,0,38,22,6,2020,2,9,2,12,8,1,1,1,1,0
121483,1,1,43,2,1,11,3,20,0,0,1,0,3,2,1,998,61,999,0,0,1,2,1,8,1,11,15,0,11,0,38,19,6,2020,6,14,2,12,8,1,1,1,1,0
121484,1,1,29,1,1,11,3,1,0,0,2,0,3,0,1,50,71,999,0,0,1,4,1,8,1,1,80,0,13,0,0,27,6,2020,7,23,2,8,1,1,1,2,1,0
121485,1,1,22,1,1,11,3,8,0,0,1,0,1,0,1,70,71,999,0,0,2,3,1,8,1,1,13,0,13,99,0,17,5,2020,1,23,2,31,1,1,4,2,5,4
121486,1,1,38,2,1,11,20,20,1,0,99,1,1,0,1,79,999,999,0,5,2,3,1,8,1,14,51,1,7,99,36,26,6,2020,6,8,2,12,1,1,1,1,1,4
121487,1,1,35,1,1,11,20,1,9,0,1,0,2,0,1,70,69,999,0,0,3,3,3,8,1,1,50,0,60,99,6,29,6,2020,2,4,2,12,1,1,1,3,1,4
121488,1,1,42,1,1,11,3,20,0,0,2,0,1,0,1,50,70,999,0,4,2,4,1,8,2,15,12,0,60,0,6,4,7,2020,7,16,2,59,3,2,4,1,2,2
121490,1,1,46,1,1,11,3,8,0,0,2,0,1,0,1,45,66,999,0,0,2,5,1,8,1,1,17,0,7,0,0,14,6,2020,1,12,2,12,2,2,1,1,1,3
121491,1,1,18,1,1,11,3,20,0,0,1,0,2,0,1,35,70,999,0,0,2,4,1,8,1,11,83,0,13,0,0,14,6,2020,1,12,2,9,3,2,1,1,1,0
121492,1,1,37,1,1,11,3,20,0,0,1,0,1,0,1,10,74,999,0,0,0,0,0,0,0,11,15,0,7,0,38,26,6,2020,6,7,2,12,8,1,1,1,1,0
121493,1,1,20,2,1,11,3,20,0,0,1,0,2,0,1,50,67,999,0,0,1,2,6,8,1,1,83,0,7,0,0,24,6,2020,4,11,2,9,1,1,1,1,10,0
121494,1,1,46,1,1,11,3,20,0,0,1,0,3,0,1,35,72,999,1,0,5,5,1,8,1,1,80,0,7,99,0,7,7,2020,3,2,2,8,1,1,1,3,1,0
121496,1,1,76,1,1,11,20,20,0,0,1,0,1,0,1,35,68,999,0,0,1,2,1,8,1,1,17,0,60,99,39,29,6,2020,2,10,2,12,2,3,1,1,1,4
121498,1,1,21,1,1,11,20,20,0,0,1,0,1,0,1,70,67,999,1,0,2,2,1,8,1,14,12,0,80,99,36,13,6,2020,7,2,2,33,1,1,4,3,1,4
121500,1,1,29,1,1,11,8,8,0,0,1,0,2,0,1,65,67,999,1,0,3,3,1,1,1,1,12,1,7,0,6,27,6,2020,7,1,2,25,1,1,3,3,10,4
121501,1,1,47,1,1,11,20,99,0,0,2,0,3,0,1,998,74,999,0,0,1,2,1,8,99,1,13,1,13,99,6,23,6,2020,3,21,2,53,1,1,4,6,1,1
121502,1,1,29,2,1,11,3,1,1,0,2,0,1,0,1,998,63,999,0,0,1,2,1,8,1,1,13,1,7,0,6,25,6,2020,5,13,2,8,1,1,4,1,1,2
121503,1,1,35,1,1,11,20,1,0,0,1,0,2,0,1,50,67,999,0,0,1,2,1,8,2,1,12,0,13,99,6,5,7,2020,1,11,2,32,1,1,4,1,2,4
121504,1,1,79,1,1,11,3,20,0,0,1,0,1,0,1,45,69,999,0,0,1,2,1,8,1,1,80,0,60,0,0,5,7,2020,1,4,2,8,1,1,1,2,10,0
121506,1,1,37,1,1,11,3,99,9,0,1,0,3,1,1,45,66,999,0,0,2,2,1,8,1,1,51,0,11,99,0,6,7,2020,2,11,2,12,1,1,1,1,1,1
121509,1,1,24,1,1,11,3,1,0,0,1,0,1,0,1,60,70,999,2,0,2,4,1,8,1,1,62,0,13,0,0,3,7,2020,6,15,2,12,2,2,1,1,1,0
121510,1,1,28,1,1,11,3,20,0,0,1,0,1,0,1,45,69,999,1,0,2,3,1,8,2,1,83,0,13,0,0,17,6,2020,4,23,2,9,1,1,1,3,1,0
121511,1,1,38,1,1,11,20,20,9,0,1,0,2,0,1,35,999,999,0,0,1,3,1,8,1,6,17,0,114,99,39,9,6,2020,3,16,2,12,2,2,1,1,1,4
121513,1,1,39,2,1,11,3,1,9,0,2,0,1,0,1,45,62,999,1,0,1,2,1,8,1,1,10,0,7,99,28,29,6,2020,2,18,2,12,1,1,1,1,1,2
121514,1,1,28,1,1,11,3,20,0,0,3,0,1,0,1,998,68,999,0,0,2,4,1,8,1,1,83,0,13,0,0,30,6,2020,3,21,2,9,1,1,1,3,10,0
121517,1,1,31,1,1,11,20,8,0,0,1,0,1,0,1,55,66,999,1,0,6,1,1,2,2,14,13,1,60,99,0,4,7,2020,7,23,2,30,5,1,4,3,10,4
121518,1,1,71,2,1,11,3,20,0,0,1,0,1,0,1,45,64,999,0,0,2,5,1,8,1,1,80,0,13,0,38,30,6,2020,3,0,2,8,1,1,1,3,1,0
121519,1,1,29,1,1,11,20,2,9,0,2,0,4,0,1,80,71,999,0,0,3,5,1,8,1,14,12,0,7,99,6,2,7,2020,5,7,2,25,1,1,3,1,1,4
121520,1,1,20,1,1,11,3,20,0,0,1,0,2,0,1,40,68,999,0,0,1,2,1,8,1,1,80,0,7,0,0,8,7,2020,4,5,2,8,1,1,1,2,10,0
121521,1,1,78,1,1,11,3,20,9,0,2,0,2,0,1,25,70,999,0,0,1,3,1,8,1,11,15,0,60,0,39,22,6,2020,2,16,2,12,2,2,1,1,1,3
121522,1,1,31,1,1,11,20,1,0,0,1,0,1,0,1,60,73,999,0,0,5,3,1,2,1,1,13,1,13,0,0,8,7,2020,4,18,2,32,1,1,4,1,10,4
121523,1,1,25,1,1,11,20,20,9,0,1,0,2,0,1,50,999,999,0,0,1,2,1,8,1,1,13,0,113,0,0,3,7,2020,6,17,2,33,3,2,4,1,1,4
121524,1,1,60,1,1,11,3,99,1,0,1,0,2,0,1,55,75,999,1,0,1,2,1,8,1,1,10,0,60,99,28,26,6,2020,6,6,2,12,1,1,1,4,1,4
